Time,f,d,t,t2,rh,ps,sw_in,sw_out,lw_in,lw_out,HS,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
29-May-2018 03:00:00,12.7583333333333,197.833333333333,0.779166666666667,0.831,65.32,880.694716666667,13.6868201666667,11.1465178333333,264.954516666667,321.359083333333,0,0,0.661205664264757,0,0,0,0.625102788836817
29-May-2018 04:00:00,11.525,189.883333333333,0.673333333333333,0.871166666666667,67.4233333333333,880.92865,73.0146016666667,52.2666083333333,274.935666666667,322.286816666667,0,0,0.662273459930052,0,0,0,0.625102788836817
29-May-2018 05:00:00,8.536,202.583333333333,1.372,1.5495,63.62,881.811966666667,172.327583333333,117.990333333333,279.813366666667,324.70635,0,0,0.661589901039186,0,0,0,0.625102788836817
29-May-2018 06:00:00,5.0225,229.716666666667,0.759666666666667,0.958,65.4,882.460616666667,145.235733333333,97.473055,278.070466666667,323.746466666667,0,0,0.662289617982883,0,0,0,0.625102788836817
29-May-2018 07:00:00,5.218,231.25,0.814333333333333,1.05383333333333,60.6033333333333,882.93575,189.29265,131.498116666667,300.736916666667,325.084383333333,0,0,0.663589999862032,0,0,0,0.625102788836817
29-May-2018 08:00:00,6.829,245.9,1.77716666666667,2.09033333333333,54.11,883.132516666667,266.23095,189.0005,311.134916666667,328.046083333333,0,0,0.663540845743742,0,0,0,0.625102788836817
29-May-2018 09:00:00,4.98033333333333,221.083333333333,2.6865,3.2635,60.0633333333333,883.229833333333,484.284216666667,329.993566666667,316.264916666667,315.348782616034,0,NaN,0.66356299177539,0,0,0,0.625102788836817
29-May-2018 10:00:00,5.579,211.966666666667,2.569,3.0505,59.8133333333333,882.96615,556.706516666667,381.798383333333,316.53285,314.79567105111,0,NaN,0.663347728609015,0,0,0,0.625102788836817
29-May-2018 11:00:00,9.34483333333333,189,2.93416666666667,3.66616666666667,51.8066666666667,882.3398,705.5584,477.240616666667,305.61405,316.718649161084,0,NaN,0.663032862976118,0,0,0,0.625102788836817
29-May-2018 12:00:00,11.9883333333333,178.4,3.0705,4.00233333333333,51.1216666666667,882.083483333333,758.392466666667,506.8677,305.541616666667,317.358239868758,0,NaN,0.662731942060438,0,0,0,0.625102788836817
29-May-2018 13:00:00,12.9633333333333,181.216666666667,3.198,4.3255,54.745,881.881583333333,989.723033333333,638.692916666667,289.481766666667,318.277087961411,0,NaN,0.662489940038894,0,0,0,0.625102788836817
29-May-2018 14:00:00,12.4216666666667,185.533333333333,2.872,3.91583333333333,64.3516666666667,882.146816666667,887.419433333333,570.42725,287.023133333333,316.799794610362,0,NaN,0.662282065783906,0,0,0,0.625102788836817
