Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,sw_in,lw_in,d,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
26-May-2017 23:00:00,91.8833333333333,NaN,NaN,NaN,329.292583333333,3.71916666666667,1.76102713333333,333.344,3.13183333333333,1.53266666666667,1.065930535,93.7,867.184033333333,0,0.70137059997927,1.6633039494991e-06,0,1.6633039494991e-06,0.707734750418445
27-May-2017 00:00:00,92.2,NaN,NaN,NaN,328.953083333333,3.35466666666667,0.2139545,332.3443,4.13716666666667,1.298,0.01693855,93.6833333333333,866.936283333333,0,0.699626035090032,1.05544346606621e-05,0,1.05544346606621e-05,0.707734750418445
27-May-2017 01:00:00,91.65,NaN,NaN,NaN,329.01115,3.7725,0.219600794666667,332.6347,3.6445,1.38983333333333,0.000806614833333333,93.7833333333333,866.733816666667,0,0.696393105784087,0,0,0,0.707734750418445
27-May-2017 02:00:00,91.3833333333333,NaN,NaN,NaN,328.2775,3.827,0.3381777,321.413166666667,5.37716666666667,1.3695,1.05848783333333,93.2333333333333,866.554183333333,0,0.691038696323022,5.54434649529867e-07,0,5.54434649529867e-07,0.707734750418445
27-May-2017 03:00:00,92.1,NaN,NaN,NaN,325.6196,4.81183333333333,4.59344483333333,306.86515,4.87066666666667,1.15766666666667,5.86632333333333,91.6666666666667,866.45315,0,0.679545818591779,0,0,0,0.707734750418445
27-May-2017 04:00:00,92.0833333333333,NaN,NaN,NaN,324.048133333333,4.8565,49.3093083333333,295.655783333333,4.379,1.25066666666667,48.7960683333333,89.5333333333333,866.3419,0,0.668649189530066,0,0,0,0.707734750418445
27-May-2017 05:00:00,92.3166666666667,NaN,NaN,NaN,325.650316666667,4.57166666666667,129.636581666667,271.258983333333,6.29866666666667,1.963,113.442925,87.3666666666667,866.275083333333,0,0.659677272355737,3.54425767500288e-05,0,3.54425767500288e-05,0.707734750418445
27-May-2017 06:00:00,92.2666666666667,NaN,NaN,NaN,328.48794,4.31983333333333,238.680133333333,256.338316666667,7.563,2.92516666666667,186.10485,83.8833333333333,866.51425,0,0.652494439802025,0,0,0,0.707734750418445
27-May-2017 07:00:00,93.0666666666667,NaN,NaN,NaN,319.748419364112,3.2375,356.938366666667,251.8289,7.45066666666667,3.351,258.32105,81.4633333333333,866.789816666667,NaN,0.647234036732596,0,0,0,0.707734750418445
27-May-2017 08:00:00,95.5666666666667,NaN,NaN,NaN,319.997423373513,4.60516666666667,484.31915,253.047816666667,4.9895,3.40916666666667,335.268583333333,81.615,866.829166666667,NaN,0.644874817968846,0,0,0,0.707734750418445
27-May-2017 09:00:00,95.6,NaN,NaN,NaN,318.25588291856,4.7275,601.329733333333,254.687916666667,4.8995,3.045,407.279366666667,83.9066666666667,867.094883333333,NaN,0.64403908789124,0,0,0,0.707734750418445
27-May-2017 10:00:00,92.9833333333333,NaN,NaN,NaN,318.358150138917,5.46266666666667,708.176583333333,256.287783333333,4.579,3.07366666666667,470.741316666667,82.1166666666667,867.302866666667,NaN,0.643935657562752,0,0,0,0.707734750418445
27-May-2017 11:00:00,92.4,NaN,NaN,NaN,319.666892838351,5.23133333333333,785.70655,256.257616666667,4.54466666666667,3.3525,511.229866666667,77.435,867.579266666667,NaN,0.644177985027999,0,0,0,0.707734750418445
27-May-2017 12:00:00,92.5333333333333,NaN,NaN,NaN,318.84464220764,5.25466666666667,835.1925,255.5541,5.16066666666667,3.17433333333333,532.798883333333,78.3916666666667,867.840416666667,NaN,0.644381480898075,0,0,0,0.707734750418445
27-May-2017 13:00:00,93.8333333333333,NaN,NaN,NaN,318.29932820996,5.128,851.505116666667,256.4965,4.80383333333333,3.062,536.721016666667,75.75,868.113,NaN,0.644478536475909,0,0,0,0.707734750418445
27-May-2017 14:00:00,94.65,NaN,NaN,NaN,318.723061748429,5.1875,854.546166666667,257.2567,4.87366666666667,3.15566666666667,519.734083333333,75.5583333333333,868.417566666667,NaN,0.644516286851035,0,0,0,0.707734750418445
27-May-2017 15:00:00,94.5166666666667,NaN,NaN,NaN,319.151834095554,5.07883333333333,791.861883333333,256.105583333333,4.36566666666667,3.24216666666667,480.551866666667,76.6933333333333,868.5835,NaN,0.644392723893194,0,0,0,0.707734750418445
27-May-2017 16:00:00,96.4666666666667,NaN,NaN,NaN,319.254518338348,5.04533333333333,700.753433333333,254.608716666667,4.6015,3.25766666666667,424.220383333333,76.4733333333333,868.756433333333,NaN,0.644143524824672,0,0,0,0.707734750418445
27-May-2017 17:00:00,96.9333333333333,NaN,NaN,NaN,318.249458367171,4.45983333333333,592.85885,253.058016666667,4.53616666666667,3.03666666666667,353.752483333333,77.8183333333333,869.099716666667,NaN,0.642522718791157,0,0,0,0.707734750418445
27-May-2017 18:00:00,96.35,NaN,NaN,NaN,329.74,4.10566666666667,467.95725,251.76755,5.1695,2.6165,276.7678,80.2716666666667,869.4669,0,0.639526499922426,0,0,0,0.707734750418445
27-May-2017 19:00:00,95.9,NaN,NaN,NaN,327.773083333333,3.88,325.890216666667,250.960533333333,4.32483333333333,1.89666666666667,194.511833333333,82.55,869.886683333333,0,0.63680203470829,0,0,0,0.707734750418445
27-May-2017 20:00:00,95.7,NaN,NaN,NaN,325.911566666667,3.2465,197.123483333333,259.605983333333,4.3475,1.32883333333333,122.64935,83.5166666666667,870.39375,0,0.635074622111581,0,0,0,0.707734750418445
27-May-2017 21:00:00,95.7,NaN,NaN,NaN,323.238516666667,2.53933333333333,91.1586333333333,263.275983333333,3.11183333333333,0.484,59.2751016666667,85.1666666666667,870.656166666667,0,0.634085678996425,0,0,0,0.707734750418445
27-May-2017 22:00:00,95.9833333333333,NaN,NaN,NaN,319.38905,1.10833333333333,16.5565463333333,265.192216666667,5.52166666666667,0.963,13.2295575,81.225,871.0834,0,0.635003215430101,0,0,0,0.707734750418445
27-May-2017 23:00:00,95.9833333333333,NaN,NaN,NaN,319.088883333333,1.3615,2.39343258333333,268.123066666667,6.11116666666667,1.773,3.3225319,77.6166666666667,871.2966,0,0.636040461730126,0,0,0,0.707734750418445
28-May-2017 00:00:00,95.5833333333333,NaN,NaN,NaN,323.2006,2.27316666666667,0.641306333333333,301.03125,6.7415,0.246666666666667,1.17432681666667,88.7166666666667,871.42715,0,0.636885040869761,0,0,0,0.707734750418445
28-May-2017 01:00:00,95.3166666666667,NaN,NaN,NaN,327.537866666667,2.3875,0.111926005,317.088516666667,4.9455,0.802666666666667,0.274472031666667,93.4833333333333,871.544766666667,0,0.639152864038229,0,0,0,0.708127040163983
28-May-2017 02:00:00,95.45,NaN,NaN,NaN,328.880933333333,1.9775,1.78343863333333,332.1776,4.13116666666667,1.1765,0.86691535,94.2,871.53005,0,0.641520042287189,0,0,0,0.70851932990952
28-May-2017 03:00:00,94.6333333333333,NaN,NaN,NaN,328.792,2.8205,6.77114866666667,318.68425,6.21916666666667,1.2675,5.00410083333333,92.4833333333333,871.4106,0,0.643201879117072,0,0,0,0.708911619655058
28-May-2017 04:00:00,95.55,NaN,NaN,NaN,328.488383333333,2.90383333333333,36.8380133333333,305.658283333333,7.94033333333333,1.12266666666667,26.0479033333333,95.55,871.394366666667,0,0.646072343643819,0,0,0,0.709303909400596
28-May-2017 05:00:00,95.9333333333333,NaN,NaN,NaN,329.571075,1.57766666666667,78.9331916666667,319.419,10.6005,1.46216666666667,53.8149,91.65,871.307166666667,0,0.652413548053505,0,0,0,0.709696199146133
28-May-2017 06:00:00,96.5666666666667,NaN,NaN,NaN,329.912,4.23866666666667,159.0322,328.346083333333,5.323,1.65183333333333,110.788338333333,91.0666666666667,871.5345,0,0.658995758123292,0,0,0,0.710088488891671
