Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,ps,d,sw_in,lw_in,t,t2,RN,sw_out,rh,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
24-Sep-2016 23:00:00,2.89233333333333,3.60333333333333,3.60333333333333,2.72333333333333,NaN,305.095497666618,856.6178,140.888333333333,0.00504166666666667,319.451016364983,0.475666666666667,0.515166666666667,NaN,0.00440800627721567,99.3,NaN,0.874315294654346,0.000116775161860005,0,0.000116775161860005,0.874315294654346
25-Sep-2016 00:00:00,1.97616666666667,3.61816666666667,3.61816666666667,2.73816666666667,NaN,302.977557260547,856.777416666666,322.916666666667,0.000806698333333333,319.410349693999,0.00916666666666667,0.0678333333333333,NaN,0.000705534687511872,99.3,NaN,0.874595444615033,0.000119137861520358,0,0.000119137861520358,0.874595444615033
25-Sep-2016 01:00:00,2.09433333333333,3.6185,3.6185,2.7385,NaN,302.657326400477,856.872216666667,336.666666666667,0.00726085966666667,319.232819396708,-0.0623333333333333,0.014,NaN,0.00634849527322148,99.3,NaN,0.874344852354922,9.99999999999091e-05,0,9.99999999999091e-05,0.874344852354922
25-Sep-2016 02:00:00,2.17,3.6145,3.6145,2.7345,NaN,302.663288590445,856.978033333333,332.033333333333,0,319.349655531579,-0.0605,-0.0241666666666667,NaN,0,99.3,NaN,0.874094260094811,0.000105973996379817,1.1416573139968e-05,9.45574232398485e-05,0.874094260094811
25-Sep-2016 03:00:00,1.97883333333333,3.59966666666667,3.59966666666667,2.71966666666667,NaN,302.64397600485,857.079416666667,331.016666666667,0,320.051227532323,-0.0616666666666667,-0.022,NaN,0,99.3,NaN,0.8738436678347,7.51118579000831e-05,0,7.51118579000831e-05,0.8738436678347
25-Sep-2016 04:00:00,2.17383333333333,3.59333333333333,3.59333333333333,2.71333333333333,NaN,302.679884035814,857.011083333333,323.45,0.0149258166666667,319.198903234908,-0.0575,0.0173333333333333,NaN,0.0130390900872958,99.2833333333333,NaN,0.873593075574589,0.000260656204429779,0,0.000260656204429779,0.873593075574589
25-Sep-2016 05:00:00,2.30616666666667,3.59483333333333,3.59483333333333,2.71483333333333,NaN,302.781794787657,857.101733333333,330.733333333333,0.020573485,318.593005154513,-0.0376666666666667,0.0511666666666667,NaN,0.0179676984803332,99.3,NaN,0.873342483314478,3.21337505702104e-05,0,3.21337505702104e-05,0.873342483314478
25-Sep-2016 06:00:00,2.53,3.59766666666667,3.59766666666667,2.71766666666667,NaN,303.047533514321,857.1724,319.033333333333,0.195039845166667,305.268336682767,-0.0378333333333333,0.045,NaN,0.170287707247516,99.3,NaN,0.873091891054367,0,0,0,0.873091891054367
25-Sep-2016 07:00:00,2.57033333333333,3.60833333333333,3.60833333333333,2.72833333333333,NaN,302.963562939382,857.299383333333,337.983333333333,10.513586,310.410189616694,-0.0336666666666667,0.0748333333333333,NaN,9.17669205922511,99.2166666666667,NaN,0.872841298794256,0,0,0,0.872841298794256
25-Sep-2016 08:00:00,1.81233333333333,3.60883333333333,3.60883333333333,2.72883333333333,NaN,304.485499314048,857.45295,351.95,57.44646,245.485611478496,0.0156666666666667,0.2385,NaN,50.1272471192855,98.6166666666667,NaN,0.872590706534145,0,0,0,0.872590706534145
25-Sep-2016 09:00:00,2.44716666666667,3.59683333333333,3.59683333333333,2.71683333333333,NaN,303.922885187254,857.706016666667,126.3865,135.499733333333,305.845870166403,0.157833333333333,0.6655,NaN,118.201852860101,97.4666666666667,NaN,0.872340114274034,0,0,0,0.872340114274034
25-Sep-2016 10:00:00,4.51366666666667,3.58533333333333,3.58533333333333,2.70533333333333,NaN,302.921379301048,857.844266666667,7.51033333333333,200.584483333333,314.708049925327,-0.024,0.653,NaN,174.927626193576,96.6666666666667,NaN,0.872089522013923,0,0,0,0.872089522013923
25-Sep-2016 11:00:00,5.9675,3.59233333333333,3.59233333333333,2.71233333333333,NaN,302.982422587003,857.929816666667,13.761,246.171116666667,308.486150979194,-0.038,0.432166666666667,NaN,214.621562890968,96.0166666666667,NaN,0.871838929753812,0,0,0,0.871838929753812
25-Sep-2016 12:00:00,5.9255,3.59633333333333,3.59633333333333,2.71633333333333,NaN,302.51102820802,858.136516666667,292.1605,275.297266666667,315.158849132828,-0.112666666666667,0.228833333333333,NaN,593.993325,95.9166666666667,NaN,0.871588337493701,0,0,0,0.871588337493701
25-Sep-2016 13:00:00,6.47083333333333,3.59566666666667,3.59566666666667,2.71566666666667,NaN,301.256148550314,858.246383333333,3.47416666666667,241.345966666667,314.098582225753,-0.395166666666667,-0.146,NaN,595.603066666667,96.1,NaN,0.87133774523359,0,0,0,0.87133774523359
25-Sep-2016 14:00:00,6.15083333333333,3.6015,3.6015,2.7215,NaN,299.291700705096,858.273633333333,296.019166666667,246.101716666667,314.797290437406,-0.828666666666667,-0.5565,NaN,584.069745348837,96.0166666666667,NaN,0.871087152973479,0,0,0,0.871087152973479
25-Sep-2016 15:00:00,6.1895,3.5995,3.5995,2.7195,NaN,298.381465273868,858.27745,349.783333333333,169.478733333333,314.464460129893,-1.03316666666667,-0.8205,NaN,579.949653100775,96.6833333333333,NaN,0.870836560713368,0,0,0,0.870836560713368
25-Sep-2016 16:00:00,5.13383333333333,3.60533333333333,3.60533333333333,2.72533333333333,NaN,297.88353679763,858.3359,343.633333333333,138.134516666667,315.862214142985,-1.13816666666667,-0.975166666666667,NaN,578.633025193798,97.0166666666667,NaN,0.870585968453257,1.08621384902108e-05,0,1.08621384902108e-05,0.870585968453257
25-Sep-2016 17:00:00,4.86133333333333,3.60383333333333,3.60383333333333,2.72383333333333,NaN,297.44704378088,858.42445,337.033333333333,108.640995,317.455072698796,-1.22866666666667,-1.06883333333333,NaN,577.316397286822,97.2666666666667,NaN,0.870335376193146,2.74135845397723e-05,0,2.74135845397723e-05,0.870335376193146
25-Sep-2016 18:00:00,4.233,3.5945,3.5945,2.7145,NaN,297.16970093051,858.4862,341.966666666667,17.9705565,317.845571393714,-1.289,-1.2465,NaN,575.999769379845,98.45,NaN,0.870084783933035,6.08621384899379e-05,0,6.08621384899379e-05,0.870084783933035
25-Sep-2016 19:00:00,5.99383333333333,3.58733333333333,3.58733333333333,2.70733333333333,NaN,299.457404105398,858.467416666667,354.866666666667,0.940066233333333,318.148483294744,-0.776833333333333,-0.747833333333333,NaN,574.683141472868,98.8333333333333,NaN,0.869834191672924,8.36343117498473e-05,5.54434649984614e-07,8.30798770998626e-05,0.869834191672924
25-Sep-2016 20:00:00,5.93233333333333,3.58916666666667,3.58916666666667,2.70916666666667,NaN,299.220666801382,858.660783333333,297.650166666667,0.0123056366666667,318.161960096985,-0.8295,-0.800666666666667,NaN,573.640811046512,99.0166666666667,NaN,0.869583599412813,0.000114188746400032,1.99999999999818e-05,9.41887464000502e-05,0.869583599412813
25-Sep-2016 21:00:00,5.03433333333333,3.59216666666667,3.59216666666667,2.71216666666667,NaN,298.108188273859,858.777083333333,295.037166666667,0,316.748572516056,-1.084,-1.06133333333333,NaN,0,98.95,NaN,0.869333007152702,0.000441129045560047,6.94455653499517e-05,0.000371683480210095,0.869333007152702
25-Sep-2016 22:00:00,5.3125,3.59333333333333,3.59333333333333,2.71333333333333,NaN,298.489828282794,858.855683333333,239.152666666667,0.0153315316666667,314.495917055543,-1.00883333333333,-0.9995,NaN,0.0133243645648689,98.9,NaN,0.869082414892591,0.000318397669050228,0.000136589404050028,0.0001818082650002,0.869082414892591
25-Sep-2016 23:00:00,5.17916666666667,3.59433333333333,3.59433333333333,2.71433333333333,NaN,297.103137745567,858.897566666667,3.93666666666667,0,312.467082108829,-1.328,-1.33116666666667,NaN,0,98.7666666666667,NaN,0.86883182263248,0.000533985206860052,0.000434600614529927,9.93845923301251e-05,0.86883182263248
26-Sep-2016 00:00:00,3.90283333333333,3.59383333333333,3.59383333333333,2.71383333333333,NaN,296.542415384032,858.878933333333,237.3845,0,310.133717098672,-1.46416666666667,-1.41033333333333,NaN,0,98.6833333333333,NaN,0.868581230372369,0.000173387580930012,8.80289922101838e-05,8.53585887198278e-05,0.868581230372369
26-Sep-2016 01:00:00,3.2935,3.5955,3.5955,2.7155,NaN,295.791001593111,858.995116666667,236.2565,0.0171470666666667,309.667684523789,-1.635,-1.538,NaN,0.014897192568166,98.5833333333333,NaN,0.868789563705702,0.000125913023369776,5.33875809198889e-05,7.25254424498871e-05,0.868789563705702
26-Sep-2016 02:00:00,2.08583333333333,3.60066666666667,3.60066666666667,2.72066666666667,NaN,292.775931260288,859.0334,236.8025,0,308.990698194591,-2.31833333333333,-2.23466666666667,NaN,0,98.25,NaN,0.868997897039036,0.00010172427696989,6.85834268699637e-05,3.3140850099926e-05,0.868997897039036
26-Sep-2016 03:00:00,0.261,3.60483333333333,3.60483333333333,2.72483333333333,NaN,290.261343222895,858.977383333333,0.819833333333333,0,308.583976377952,-2.8915,-2.82533333333333,NaN,0,97.8666666666667,NaN,0.869206230372369,2.88911307002309e-05,1.0862138479979e-05,1.80289922202519e-05,0.869206230372369
26-Sep-2016 04:00:00,0,3.61416666666667,3.61416666666667,2.73416666666667,NaN,284.864553666159,858.935683333333,0,0,308.415304486639,-4.13083333333333,-4.06983333333333,NaN,0,97,NaN,0.869414563705702,0,0,0,0.869414563705702
26-Sep-2016 05:00:00,0,3.63066666666667,3.63066666666667,2.75066666666667,NaN,274.276711186323,859.10705,0,0,306.209655531579,-6.62216666666667,-6.61016666666667,NaN,0,95.4833333333333,NaN,0.869622897039036,0,0,0,0.869622897039036
26-Sep-2016 06:00:00,0,3.6405,3.6405,2.7605,NaN,267.920763243799,859.239983333333,0,0.0244277166666667,305.426814757507,-8.14933333333333,-8.141,NaN,0.0212479908433543,94.2833333333333,NaN,0.869831230372369,0,0,0,0.869831230372369
26-Sep-2016 07:00:00,0,3.64733333333333,3.64733333333333,2.76733333333333,NaN,262.18763875968,859.528516666667,0,12.0918616666667,304.015568867566,-9.55333333333333,-9.525,NaN,10.5203980488564,93.0666666666667,NaN,0.870039563705702,0,0,0,0.870039563705702
26-Sep-2016 08:00:00,0,3.63933333333333,3.63933333333333,2.75933333333333,NaN,268.405331189672,859.76445,0,135.634378333333,304.203716391161,-8.03816666666667,-7.65783333333333,NaN,118.03553251078,91.55,NaN,0.870247897039036,0,0,0,0.870247897039036
26-Sep-2016 09:00:00,0,3.62566666666667,3.62566666666667,2.74566666666667,NaN,276.983464881438,860.073666666667,0,248.1999,293.344132354795,-6.042,-5.54983333333333,NaN,216.047149332799,90.0166666666667,NaN,0.870456230372369,0,0,0,0.870456230372369
26-Sep-2016 10:00:00,0,3.61283333333333,3.61283333333333,2.73283333333333,NaN,286.440530479333,860.56025,0,257.16535,284.00035536829,-3.87983333333333,-3.367,NaN,223.904757257974,90.55,NaN,0.870664563705702,0,0,0,0.870664563705702
26-Sep-2016 11:00:00,0.945333333333333,3.60216666666667,3.60216666666667,2.72216666666667,NaN,290.781209733744,860.905883333333,153.8,255.444,290.745584184674,-2.85433333333333,-2.31566666666667,NaN,553.0685,90.35,NaN,0.870872897039036,0,0,0,0.870872897039036
26-Sep-2016 12:00:00,1.02966666666667,3.598,3.598,2.718,NaN,294.437416575451,861.161316666667,122.833333333333,297.234633333333,301.562455756755,-1.97633333333333,-1.73133333333333,NaN,559.2459,89.3833333333333,NaN,0.871081230372369,0,0,0,0.871081230372369
26-Sep-2016 13:00:00,2.77666666666667,3.59683333333333,3.59683333333333,2.71683333333333,NaN,295.43120902643,861.311566666667,208.9,403.922716666667,302.240613607485,-1.74933333333333,-0.996833333333333,NaN,555.912733333333,88.3833333333333,NaN,0.871289563705702,0,0,0,0.871289563705702
26-Sep-2016 14:00:00,1.6825,3.59755,3.59755,2.71755,NaN,299.143413626082,861.529066666667,215.183333333333,433.209416666667,276.777578455437,-1.03133333333333,-0.226666666666667,NaN,553.982421875,87.8,NaN,0.871497897039036,0,0,0,0.871497897039036
26-Sep-2016 15:00:00,2.4025,3.60367,3.60367,2.72367,NaN,294.876864620611,861.710266666667,66.495,369.233,225.59110653184,-2.22033333333333,-1.98783333333333,NaN,551.320740625,89.3666666666667,NaN,0.871706230372369,0,0,0,0.871706230372369
26-Sep-2016 16:00:00,3.476,3.60979,3.60979,2.72979,NaN,291.369756749061,861.777866666667,186.45,274.83595,219.372686984121,-3.04566666666667,-2.30933333333333,NaN,551.554928125,85.0833333333333,NaN,0.871914563705702,0,0,0,0.871914563705702
26-Sep-2016 17:00:00,3.252,3.61591,3.61591,2.73591,NaN,285.578132532888,861.988816666667,233,159.948083333333,216.778470746284,-4.38983333333333,-3.8225,NaN,551.789115625,86.2333333333333,NaN,0.872122897039036,0,0,0,0.872122897039036
26-Sep-2016 18:00:00,4.78933333333333,3.62203,3.62203,2.74203,NaN,273.880381453587,862.205166666667,184.383333333333,46.9654003333333,231.301940984934,-7.0735,-6.82283333333333,NaN,552.023303125,87.4666666666667,NaN,0.872331230372369,0,0,0,0.872331230372369
