Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,t2,sw_out,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
23-Sep-2005 08:00:00,7.0665,5.53133333333333,7.10833333333333,5.00833333333333,NaN,316.905118924509,342.266666666667,75.3274732850741,316.715529127887,-6.2715,NaN,69.6863150637711,93.75,0,0.883901248914793,911.523759856196,3.9999999999992e-05,3.83617659737041e-05,1.63823402628793e-06,0.84893888061296
23-Sep-2005 09:00:00,6.79383333333333,5.51983333333333,7.09683333333333,4.99683333333333,NaN,316.870648052396,331.6,127.611168562565,316.939589796622,-6.22533333333333,NaN,118.045501551189,93.6166666666667,0,0.883901248914793,910.969345973377,2.80689940200034e-05,2.16382340262982e-05,6.43075999370523e-06,0.84893888061296
23-Sep-2005 10:00:00,7.6815,5.49766666666667,7.07466666666667,4.97466666666667,NaN,316.612116511548,333.05,179.47259565667,316.474233023095,-5.82083333333333,NaN,164.167528438469,93.8666666666667,0,0.883895975500855,910.610240546521,2.00000000000102e-05,2.80689940208987e-05,0,0.84893888061296
23-Sep-2005 11:00:00,7.4905,5.4925,7.0695,4.9695,NaN,315.595225784213,326.5,258.204067562909,314.250861771803,-5.844,NaN,233.264391589107,93.45,-0.0594600949460755,0.883895975500855,910.261363181711,1.99999999999818e-05,1.99999999998965e-05,8.52657246024069e-17,0.84893888061296
23-Sep-2005 12:00:00,6.7025,5.50816666666667,7.08516666666667,4.98516666666667,NaN,314.474922440538,344.333333333333,267.89038262668,312.544553602206,-5.80466666666667,NaN,245.415374008962,93.35,-0.238813798343765,0.883895975500855,909.935321483604,8.3617659740014e-06,1.93100597920193e-06,6.43075999479947e-06,0.84893888061296
23-Sep-2005 13:00:00,6.28583333333333,5.50541666666667,7.08241666666667,4.98241666666667,NaN,314.285332643916,336.983333333333,317.924853498793,311.717252671493,-5.84166666666667,NaN,292.157876594278,93.35,-0.275713142899775,0.883895975500855,909.498182194782,2.00000000000102e-05,3.61379880417019e-05,0,0.84893888061296
23-Sep-2005 14:00:00,6.253,5.66516666666667,7.076,4.976,NaN,315.06092726646,324.8,294.415718717684,311.613840055154,-5.38416666666667,NaN,267.287142364702,93.9,-0.101644516542459,0.883901248914793,909.088358534329,5.77762220679858e-05,4.99999999999972e-05,7.77622206798867e-06,0.84893888061296
23-Sep-2005 15:00:00,7.69833333333333,5.503,7.0794,4.9794,NaN,315.750344708721,326.616666666667,238.452257842124,307.666925198207,-5.6745,NaN,203.619441571872,93.7166666666667,0,0.884113240155084,908.749913872526,3.80689940210175e-05,2.97072280471014e-05,8.36176597391614e-06,0.84893888061296
23-Sep-2005 16:00:00,7.86066666666667,5.5135,7.092,4.992,NaN,309.959238193726,324.583333333333,259.910375732506,273.540761806274,-5.97816666666667,NaN,190.796277145812,92.95,-1.00489136799815,0.884319957981438,908.47193725273,4.97072280469979e-05,4.80689940209089e-05,1.63823402608897e-06,0.84893888061296
23-Sep-2005 17:00:00,7.41166666666667,5.50908333333333,NaN,NaN,NaN,315.181575318855,320.783333333333,59.8914167528438,302.841003102379,-6.28133333333333,NaN,51.833850396415,93.7,-0.0706840206683144,0.884680416106434,908.07202625688,3.9999999999992e-05,4.80689940208947e-05,0,0.84893888061296
23-Sep-2005 18:00:00,7.16133333333333,5.49366666666667,NaN,NaN,NaN,315.629696656325,292.866666666667,22.6266804550155,304.409427783523,-6.6815,NaN,20.1964839710445,93.3,-0.0123806283145124,0.884828801861694,907.787788421714,6.80689940210186e-05,6.80689940208055e-05,2.13167699637806e-16,0.84893888061296
23-Sep-2005 19:00:00,8.37833333333333,5.15222222222222,NaN,NaN,NaN,315.767580144777,295.283333333333,1.09203722854188,303.823422957601,-6.88016666666667,NaN,1.10324026197863,93.2666666666667,-0.00121087332161096,0.885485346172297,907.568233108245,0.000137483450114985,0.000131052690120598,6.43075999438736e-06,0.84893888061296
23-Sep-2005 20:00:00,8.06166666666667,4.38713888888889,5.82505555555556,3.72505555555556,NaN,315.302223371251,294.6,0,301.289813857291,-6.88883333333333,NaN,0,93.1166666666667,-0.0078434163773693,0.883127991584711,907.794664425038,9.16382340259929e-05,8.83617659737013e-05,3.27646805229164e-06,0.84893888061296
23-Sep-2005 21:00:00,8.795,4.24830555555555,NaN,NaN,NaN,316.215701482247,289.083333333333,0,308.856170286108,-6.79516666666667,NaN,0,93.3833333333333,0,0.870335629773679,907.714741309682,0.000169707228047997,0.00017134546207339,0,0.84893888061296
23-Sep-2005 22:00:00,8.89833333333333,4.2486,NaN,NaN,NaN,316.163995174078,288.05,0,308.718286797656,-6.76683333333333,NaN,0,93.5,0,0.845239027290025,907.716515568104,5.77762220680142e-05,6.74834501152049e-05,0,0.84893888061296
23-Sep-2005 23:00:00,8.13833333333333,4.200375,5.69633333333333,3.59633333333333,NaN,316.146759738021,286.766666666667,0,307.666925198208,-6.78516666666667,NaN,0,93.45,0,0.81894556748495,908.014471957746,1.97072280469968e-05,1.00000000000051e-05,9.70722804699165e-06,0.84893888061296
24-Sep-2005 00:00:00,8.32333333333333,3.89241666666667,5.59908333333333,3.49908333333333,NaN,315.922699069286,284.65,0,306.598328162703,-6.65483333333333,NaN,0,93.4833333333333,0,0.803364693287629,908.167809299236,9.99999999999091e-06,9.99999999999091e-06,0,0.84893888061296
24-Sep-2005 01:00:00,6.8405,3.66766666666667,NaN,NaN,NaN,313.199500172354,286.883333333333,0,285.071268528094,-6.96333333333333,NaN,0.011203033436746,93.1333333333333,-0.347855437883605,0.771687027845143,908.471938750104,1.93100597900298e-06,1.00000000000051e-05,0,0.84893888061296
24-Sep-2005 02:00:00,6.23916666666667,4.26027777777778,NaN,NaN,NaN,308.476990692864,274.366666666667,0,252.479058945191,-8.095,NaN,0.450361944157187,92.2,-1.18209931406277,0.742950844091496,908.69492303859,1.80689940210073e-05,1.02927719528054e-05,7.77622206820183e-06,0.84893888061296
24-Sep-2005 03:00:00,5.27033333333333,4.26205555555555,NaN,NaN,NaN,306.357032057911,273.016666666667,0,247.756549465701,-8.88333333333333,NaN,0.439158910720441,91.1333333333333,-1.63015083255368,0.724957490488522,908.823171297684,1.83617659729975e-05,1.80689940208936e-05,2.92771952103978e-07,0.84893888061296
24-Sep-2005 04:00:00,6.70066666666667,4.16769047619047,NaN,NaN,NaN,306.96027231989,276.683333333333,0,244.430110306791,-8.68333333333333,NaN,0.765770423991727,91.55,-1.47076324172145,0.712833249372607,908.910799311182,9.99999999999091e-06,1.00000000000051e-05,0,0.84893888061296
24-Sep-2005 05:00:00,5.128,3.93654761904762,NaN,NaN,NaN,305.684850051707,254.9,0,247.894432954154,-10.335,NaN,0.315236125473974,89.6,-1.78429601218689,0.712042050031389,908.7272094655,2.92771953013471e-07,9.99999999999091e-06,0,0.84893888061296
24-Sep-2005 06:00:00,3.689,3.80171428571429,5.37871428571429,3.27871428571429,NaN,302.254998276456,250.4,0.202688728024818,245.205704929335,-9.73333333333333,NaN,1.75732506032402,90.8833333333333,-2.55126668592888,0.71376358819426,908.733957438244,0,0,0,0.84893888061296
24-Sep-2005 07:00:00,9.785,3.4545,NaN,NaN,NaN,306.288090313685,277.266666666667,54.0473974491554,236.157100999655,-8.685,NaN,43.6556359875905,89.2666666666667,-1.56700744868167,0.713708310746387,909.048896937485,0,0,0,0.84893888061296
24-Sep-2005 08:00:00,9.36833333333333,3.49611111111111,NaN,NaN,NaN,304.392192347466,275.583333333333,176.973457428473,229.62487073423,-8.10333333333333,NaN,130.558428128232,82.1166666666667,-1.95340979322619,0.713755678561704,909.090047898822,0,0,0,0.84893888061296
24-Sep-2005 09:00:00,8.78666666666667,3.93988888888889,5.69466666666666,3.59466666666667,NaN,303.53042054464,275.45,301.465012064805,225.367718028266,-7.21833333333333,NaN,208.307480179249,76.75,-2.12083784839065,0.713755678561704,909.452548384731,0,0,0,0.84893888061296
24-Sep-2005 10:00:00,8.87,4.25155555555556,5.82877777777778,3.72877777777778,NaN,304.478369527749,277.516666666667,368.148914167528,228.401154774216,-6.69283333333333,NaN,254.72250947949,74.0833333333333,-1.92543696059933,0.71377196010514,909.667010434764,0,0,0,0.84893888061296
24-Sep-2005 11:00:00,8.00833333333333,4.25077777777778,5.82777777777778,3.72777777777778,NaN,307.597983453981,278.2,275.680799724233,247.101602895553,-6.452,NaN,206.4632885212,75.95,-1.34435428642737,0.713849982057938,909.937690060234,0,0,0,0.84893888061296
24-Sep-2005 12:00:00,8.67166666666667,3.8525,5.827,3.727,NaN,307.615218890038,286.45,525.629093416063,229.900637711134,-5.73016666666667,NaN,360.720441227163,76.3833333333333,-1.22372808377655,0.713862977418296,910.231769699504,0,0,0,0.84893888061296
24-Sep-2005 13:00:00,9.02833333333333,4.25166666666667,5.8278,3.7278,NaN,308.235694588073,296.116666666667,568.683212685281,238.139176146156,-5.27733333333333,NaN,395.225784212341,76.2833333333333,-1.13935010858691,0.713866213810722,910.375710886847,0,0,0,0.84893888061296
24-Sep-2005 14:00:00,7.21733333333333,4.25058333333333,5.82758333333333,3.72758333333333,NaN,305.16778697001,298.183333333333,358.859014133057,233.916494312306,-5.5595,NaN,257.376766632196,77.8333333333333,-1.80622562861652,0.713862977418296,910.548907339041,0,0,0,0.84893888061296
24-Sep-2005 15:00:00,6.9415,4.245,5.822,3.722,NaN,302.358410892796,289.716666666667,381.402964495002,227.83238538435,-5.4645,NaN,266.580489486384,77.7833333333333,-2.40597070563846,0.713765387738982,910.633688978582,0,0,0,0.84893888061296
24-Sep-2005 16:00:00,6.563,4.24358333333333,5.8185,3.7185,NaN,301.203636677008,283.383333333333,264.339882799035,229.814460530851,-5.73516666666667,NaN,191.296104791451,77.9833333333333,-2.68450107879931,0.71377838309934,910.716799753396,0,0,0,0.84893888061296
24-Sep-2005 17:00:00,7.12633333333333,4.24955555555556,NaN,NaN,NaN,303.582126852809,284.233333333333,153.705618752154,243.499396759738,-6.1365,NaN,124.577731816615,79.1666666666667,-2.2344900719146,0.713687266204878,911.078819046374,0,0,0,0.84893888061296
24-Sep-2005 18:00:00,7.034,4.24794444444445,NaN,NaN,NaN,312.958204067563,282.55,31.2492244053774,293.18915891072,-6.0755,NaN,26.1596001378835,85.6,-0.448736408125579,0.713693788780383,911.29609714636,0,0,0,0.84893888061296
24-Sep-2005 19:00:00,5.62383333333333,4.45216666666667,NaN,NaN,NaN,315.491813167873,299.583333333333,1.19338159255429,309.028524646674,-5.93816666666667,NaN,1.33953809031368,90.2833333333333,-0.0409869887539192,0.713560245650389,911.608190579054,1.80689940210073e-05,1.63823402630214e-06,1.64307599947051e-05,0.84893888061296
24-Sep-2005 20:00:00,4.941,5.5735,7.09333333333333,4.99333333333333,NaN,316.043347121682,322.483333333333,0,310.062650810066,-5.92966666666667,NaN,0,93.8166666666667,0,0.713416129337734,911.87428534006,1.19310059789939e-05,2.67235319473969e-05,0,0.84893888061296
24-Sep-2005 21:00:00,6.427,5.69966666666667,NaN,NaN,NaN,314.630041365046,331.233333333333,0,295.653826266805,-6.41883333333333,NaN,0.0563598759048603,93.25,-0.165894687664481,0.713785052947584,912.051360924212,4.86545379270069e-05,4.22237779320085e-05,6.43075999499842e-06,0.84893888061296
24-Sep-2005 22:00:00,4.41316666666667,5.64433333333333,NaN,NaN,NaN,313.71656325405,332.933333333333,0,296.412185453292,-7.48666666666667,NaN,0.27007928300586,92.7833333333333,-0.328960726029,0.71773278751577,912.373911201692,0.000108654537926981,0.000107016303900295,1.63823402668585e-06,0.84893888061296
24-Sep-2005 23:00:00,4.1555,5.53166666666667,NaN,NaN,NaN,315.664167528438,316.15,0,309.993709065839,-7.30833333333333,NaN,0.0449844881075492,92.8666666666667,-0.0294942086968415,0.721345703466626,912.668695208801,4.80689940200136e-05,4.00000000000063e-05,8.06899402000738e-06,0.84893888061296
25-Sep-2005 00:00:00,3.89016666666667,5.53433333333333,NaN,NaN,NaN,315.164339882799,289.116666666667,0,308.442519820752,-7.88333333333333,NaN,0.011203033436746,92.1833333333333,-0.06475450910105,0.717470304337592,912.808588959982,4.22237779320085e-05,5.02927719528969e-05,0,0.84893888061296
25-Sep-2005 01:00:00,4.598,5.42941666666667,NaN,NaN,NaN,316.232936918304,285.25,0,313.061616683902,-7.83666666666667,NaN,0,91.8,0,0.723271863355491,912.746588751977,5.83617659739843e-05,4.99999999999972e-05,8.36176597398719e-06,0.84893888061296
25-Sep-2005 02:00:00,4.91266666666667,4.47433333333333,NaN,NaN,NaN,315.646932092382,285.333333333333,0,310.131592554292,-7.73666666666667,NaN,0.112547397449155,90.0333333333333,-0.0183669863984525,0.730915991767005,912.66834684509,5.00000000000114e-05,6.00000000000023e-05,0,0.84893888061296
25-Sep-2005 03:00:00,5.78833333333333,4.2575,NaN,NaN,NaN,314.250861771803,284.733333333333,0,299.480093071355,-7.71833333333333,NaN,0.48414339882799,86.0666666666667,-0.215852934989035,0.735934451394275,912.349936828758,4.806899402098e-05,4.67235319473929e-05,1.3454620735871e-06,0.84893888061296
