Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,d,sw_in,lw_in,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
24-Jun-2019 12:00:00,190.2,NaN,NaN,NaN,302.605416666667,4.39533333333333,167.3,685.681733333333,288.515133333333,2.87666666666667,55.7988283333333,82.4,933.86715,-2.76746802552372,0.0853392170364101,0,0,0,0.124046728608864
24-Jun-2019 13:00:00,236.666666666667,NaN,NaN,NaN,305.827683333333,4.9935,171.9,680.056133333333,299.4713,2.96633333333333,56.9859383333333,82.025,933.9858,-2.10456213626935,0.0852807654904634,0,0,0,0.124058530550645
24-Jun-2019 14:00:00,187.8,NaN,NaN,NaN,307.061233333333,5.1815,165.133333333333,484.585616666667,317.4385,2.947,39.3722316666667,81.5466666666667,934.07725,-1.94600719286881,0.0851941036253608,0,0,0,0.124070332492426
24-Jun-2019 15:00:00,166.516666666667,NaN,NaN,NaN,309.148416666667,5.16466666666667,174.483333333333,432.705833333333,308.320533333333,3.40516666666667,36.35329,80.515,934.163366666667,-1.40938542303221,0.0850975108082982,0,0,0,0.124082134434207
24-Jun-2019 16:00:00,184.516666666667,NaN,NaN,NaN,308.0479,5.38333333333333,170.683333333333,495.955733333333,297.385866666667,3.10583333333333,44.8963233333333,83.15,934.061916666667,-1.58500021891519,0.0849349080540521,0,0,0,0.124093936375987
24-Jun-2019 17:00:00,193.116666666667,NaN,NaN,NaN,309.578833333333,4.91066666666667,190.066666666667,365.975183333333,312.329,4.14116666666667,31.827465,79.3816666666667,934.284216666667,-1.33925170529204,0.0849617047670104,0,0,0,0.124105738317768
24-Jun-2019 18:00:00,192.466666666667,NaN,NaN,NaN,308.084283333333,4.3015,201.416666666667,427.121183333333,291.42835,4.885,45.3923016666667,78.245,934.625083333333,-1.53631500263542,0.0848673185978994,0,0,0,0.124117540259549
24-Jun-2019 19:00:00,195.05,NaN,NaN,NaN,308.61265,4.04666666666667,207.6,237.61335,282.87955,4.342,25.4787216666667,79.5666666666667,934.7405,-1.35803617947194,0.0848517408224407,0,0,0,0.124129342201329
24-Jun-2019 20:00:00,195.65,NaN,NaN,NaN,312.264716666667,4.84166666666667,187.55,98.1042216666667,280.039133333333,3.37483333333333,10.6180338333333,81.635,935.101716666667,-0.515790525706839,0.0846078654983758,0,0,0,0.12414114414311
24-Jun-2019 21:00:00,199.866666666667,NaN,NaN,NaN,314.9661,4.72733333333333,186.483333333333,34.7997416666667,281.109116666667,3.075,4.09114733333333,82.7716666666667,935.363416666667,-0.0975773078482027,0.0842899336386669,0,0,0,0.124152946084891
