Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_out,lw_in,t,sw_in,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
15-Jun-2010 19:00:00,9.445,0.841833333333333,2.16816666666667,1.52816666666667,NaN,289.052654257153,186.766666666667,20.2275077559462,302.6341778697,3.14916666666667,214.408824543261,97.35,-6.04561974010738,0.0879594478843581,923.5857005221,0,0,0,0.121010987313109
15-Jun-2010 20:00:00,10.6766666666667,0.836,2.174,1.534,NaN,291.655205101689,186.383333333333,14.9034815580834,303.168476387453,3.249,145.243019648397,96.2666666666667,-5.43774795581093,0.0878479009835255,923.525022839189,1.83617659799893e-05,0,1.83617659799893e-05,0.120994420843468
15-Jun-2010 21:00:00,8.94166666666667,0.840166666666667,2.16983333333333,1.52983333333333,NaN,295.515942778352,197.55,5.19251982075146,303.892364701827,3.77166666666667,62.9817304377801,87.6,-4.5257743192516,0.0880911815939718,923.477862274147,3.99999999999636e-05,0,3.99999999999636e-05,0.120977854373827
15-Jun-2010 22:00:00,8.795,0.840333333333333,2.16966666666667,1.52966666666667,NaN,299.376680455016,200.7,1.60841089279559,302.823767666322,3.96916666666667,25.1568424681144,85.3833333333333,-3.61818613744413,0.0888991186865059,923.068212281674,0.000191638234020047,0,0.000191638234020047,0.120961287904186
15-Jun-2010 23:00:00,7.99033333333333,0.839666666666667,2.17033333333333,1.53033333333333,NaN,297.187780075836,193.983333333333,0.392795587728369,302.68588417787,4.30066666666667,5.69803516028955,83.2666666666667,-4.12181680457452,0.0904226301729978,923.070489712568,9.1293263920079e-05,0,9.1293263920079e-05,0.120944721434545
16-Jun-2010 00:00:00,6.80966666666667,0.838,2.172,1.532,NaN,306.598328162703,187.95,0.00224060668734918,303.909600137884,3.86466666666667,1.45518786625302,83.6833333333333,-1.96958493416208,0.0915365112052533,923.012608048395,6.74312519699924e-05,0,6.74312519699924e-05,0.120928154964904
16-Jun-2010 01:00:00,6.42733333333333,0.837166666666667,2.17283333333333,1.53283333333333,NaN,312.02749052051,197.75,0,303.289124439848,4.2455,1.52430196483971,80.4333333333334,-0.726936729236163,0.0913446547562081,922.497640616941,8.10004919699168e-05,0,8.10004919699168e-05,0.120778221762921
16-Jun-2010 02:00:00,5.37083333333333,0.838,2.172,1.532,NaN,300.841692519821,207.183333333333,0.388314374353671,301.961995863496,4.75083333333333,8.01223715960015,77.25,-3.27889002387432,0.088247423669049,922.116032546155,4.25165498800197e-05,0,4.25165498800197e-05,0.120628288560938
16-Jun-2010 03:00:00,5.17433333333333,0.8355,2.1745,1.5345,NaN,307.046449500173,196.6,0.186487418131679,301.893054119269,4.52616666666667,8.39107204412272,81.8333333333333,-1.84627103573362,0.0828909000599775,921.34487382989,3.35692400099106e-05,0,3.35692400099106e-05,0.120478355358955
16-Jun-2010 04:00:00,4.307,0.832333333333333,2.17766666666667,1.53766666666667,NaN,306.632799034816,213.566666666667,0.986211651154773,304.099189934505,3.63666666666667,21.5735953119614,84.6333333333333,-1.95417781595944,0.0779815474141764,920.933528129993,2.22377793011219e-06,0,2.22377793011219e-06,0.120328422156973
16-Jun-2010 05:00:00,4.77183333333333,0.831166666666667,2.17883333333333,1.53883333333333,NaN,311.734488107549,211.183333333333,2.5815236125474,304.857549120993,3.7035,41.0444674250258,86.5666666666667,-0.802990763369905,0.0732722731853174,920.47069805376,0,0,0,0.12017848895499
16-Jun-2010 06:00:00,6.42266666666667,0.830586021505376,2.17941397849462,1.53941397849462,NaN,312.337728369528,196.933333333333,2.46242674939676,302.789296794209,3.9055,41.1737331954498,86.9166666666667,-0.689219503946172,0.0709191964480918,919.766558783148,3.77762220698514e-05,0,3.77762220698514e-05,0.120028555753007
16-Jun-2010 07:00:00,4.95216666666667,0.826822580645161,2.18317741935484,1.54317741935484,NaN,316.543174767322,196.566666666667,5.7385384350224,307.908221302999,3.09116666666667,77.1957945536022,91.7333333333333,-0.0092479817829485,0.0702458785877644,919.712129632535,0.00061918788368007,0,0.00061918788368007,0.119878622551024
16-Jun-2010 08:00:00,4.2895,0.824,2.186,1.546,NaN,317.491123750431,222.633333333333,7.43846949327818,306.770682523268,3.6735,95.7083764219235,91.4166666666667,0,0.071736793461204,919.224905666494,0.000389135685529936,0,0.000389135685529936,0.119728689349041
16-Jun-2010 09:00:00,4.42366666666667,NaN,NaN,NaN,NaN,317.99095139607,226.116666666667,8.85418821096174,307.184332988625,3.39966666666667,115.822130299897,92.55,0,0.0745744173632428,919.415076643872,3.38620119600819e-05,0,3.38620119600819e-05,0.119578756147058
16-Jun-2010 10:00:00,8.032,NaN,NaN,NaN,NaN,316.853412616339,194.866666666667,7.8419510513616,309.959238193726,3.92133333333333,103.240261978628,91.65,0,0.0791015239423508,919.44978695458,1.2516549880047e-05,0,1.2516549880047e-05,0.119428822945075
16-Jun-2010 11:00:00,6.449,NaN,NaN,NaN,NaN,316.974060668735,204.833333333333,8.29834539813857,307.701396070321,3.55233333333333,110.63426404688,91.1,-0.028415781488017,0.0826922120595266,919.280978165092,5.21715797799516e-05,0,5.21715797799516e-05,0.119278889743092
16-Jun-2010 12:00:00,7.53366666666667,NaN,NaN,NaN,NaN,318.059893140296,198.233333333333,14.9241640813513,303.271889003792,3.63933333333333,209.048603929679,90.5333333333333,0,0.0839233786178863,919.192424682389,3.18788078300258e-05,0,3.18788078300258e-05,0.11912895654111
16-Jun-2010 13:00:00,6.21916666666667,NaN,NaN,NaN,NaN,306.891330575664,236.783333333333,28.3971044467425,297.480782488797,4.85583333333333,450.344708721131,85.9,-1.8635800305148,0.0840850673268246,918.957675310471,0.000596685335179927,0,0.000596685335179927,0.118979023339127
16-Jun-2010 14:00:00,7.391,NaN,NaN,NaN,NaN,297.049896587384,220.316666666667,27.3233367804206,297.256721820062,4.60166666666667,415.35677352637,86.1833333333333,-4.1187787579612,0.0842447564215669,918.613364484457,5.19310059801228e-05,0,5.19310059801228e-05,0.118829090137144
16-Jun-2010 15:00:00,6.87233333333333,NaN,NaN,NaN,NaN,313.24135765992,211.533333333333,26.327128576353,296.326008273009,4.58233333333333,416.804550155119,87.1833333333333,-0.585960049489965,0.084542855972333,918.736327724494,0,0,0,0.118679156935161
16-Jun-2010 16:00:00,7.31583333333333,0.799,2.211,1.571,NaN,306.711589599645,197.083333333333,33.4850051706308,289.707600827301,5.1405,529.800068941744,85.9333333333333,-1.83586739770388,0.0857716156305958,918.698992302806,0,0,0,0.118529223733178
16-Jun-2010 17:00:00,7.3275,0.796166666666667,2.21383333333333,1.57383333333333,NaN,308.155359928487,195.766666666667,30.2257842123406,289.879955187866,5.33933333333333,442.69217511203,84.3166666666667,-1.50880697511018,0.0889810382590914,918.723376989404,0,0,0,0.118379290531195
16-Jun-2010 18:00:00,7.33183333333333,0.7935,2.2165,1.5765,NaN,307.922243352672,187.25,35.1878662530162,282.623836608066,6.52716666666667,485.022406066873,77.8833333333333,-1.52461968594559,0.0923022353571219,918.997762187941,0,0,0,0.118229357329212
16-Jun-2010 19:00:00,3.974,0.792333333333333,2.21766666666667,1.57766666666667,NaN,343.051065372614,184.85,31.6563254050327,277.83238538435,8.2875,290.003447087211,63.5283333333333,NaN,0.0947965293263019,919.563317873645,0,0,0,0.118079424127229
16-Jun-2010 20:00:00,4.425,0.783333333333333,2.22666666666667,1.58666666666667,NaN,329.683575026696,185.933333333333,30.2223371251292,285.967511203033,5.58366666666667,194.501895897966,68.165,NaN,0.0960167377136251,919.336278987323,0,0,0,0.117929490925246
16-Jun-2010 21:00:00,4.69933333333333,0.785,2.225,1.585,NaN,335.765409199441,247.566666666667,27.3043778007584,286.277749052051,6.84,104.825922095829,49.1383333333333,NaN,0.0957880105770374,919.868289862918,0,0,0,0.117779557723264
16-Jun-2010 22:00:00,8.09366666666667,0.782333333333333,2.22766666666667,1.58766666666667,NaN,336.404650346235,276.2,18.5677352637022,288.328765942778,6.97933333333333,48.0885901413306,41.8616666666667,NaN,0.0944066253068426,919.363038791291,0,0,0,0.117629624521281
16-Jun-2010 23:00:00,10.0633333333333,0.7805,2.2295,1.5895,NaN,335.603105793897,273.533333333333,6.20389520854878,290.896845915201,6.82566666666667,13.0629093416063,41.4383333333333,NaN,0.0926445553123057,919.038331927392,0,0,0,0.117479691319298
17-Jun-2010 00:00:00,9.645,0.778833333333333,2.23116666666667,1.59116666666667,NaN,334.210022534487,277,0.738021371940709,292.930627369872,6.548,2.08066184074457,41.3933333333333,NaN,0.0909315274488714,919.463913858358,0,0,0,0.117329758117315
17-Jun-2010 01:00:00,9.42333333333333,0.7775,2.2325,1.5925,NaN,332.452897938609,274.416666666667,0.575318855567046,292.930627369872,6.186,0.342985177524991,41.9383333333333,NaN,0.0898314897724016,920.15102654517,0,0,0,0.117307651463418
17-Jun-2010 02:00:00,8.40166666666667,0.7745,2.2355,1.5955,NaN,331.206409827303,274.533333333333,1.21337469837987,295.343588417787,5.93833333333333,2.87469837986901,43.0316666666667,NaN,0.0918419358139741,920.677197263423,0,0,0,0.117285544809522
17-Jun-2010 03:00:00,7.89666666666667,0.772166666666667,2.23783333333333,1.59783333333333,NaN,327.937037115137,274.7,6.24870734229577,296.894777662875,5.26566666666667,18.6194415718718,47.4866666666667,NaN,0.0930906985529894,921.310292023564,0,0,0,0.117263438155625
17-Jun-2010 04:00:00,7.1305,0.771,2.239,1.599,NaN,326.885167028875,266.283333333333,19.3864184763875,294.154343329886,5.03466666666667,75.7962771458118,49.0616666666667,NaN,0.0954466001398425,921.629274699849,0,0,0,0.117241331501728
17-Jun-2010 05:00:00,8.61833333333333,0.768,2.242,1.602,NaN,328.290665989082,277.716666666667,27.817993795243,293.568338503964,5.3255,160.306790761806,49.3166666666667,NaN,0.098732444482564,921.547173151518,0,0,0,0.117219224847832
17-Jun-2010 06:00:00,10.1083333333333,0.763833333333333,2.24616666666667,1.60616666666667,NaN,322.670649382433,276.083333333333,34.7431920027577,294.395639434678,4.15066666666667,265.839365735953,60.69,NaN,0.101606202870946,922.231083130266,0,0,0,0.117197118193935
17-Jun-2010 07:00:00,11.4516666666667,0.761,2.249,1.609,NaN,322.023575945875,283.766666666667,41.1771802826612,295.136763185108,4.01716666666667,387.469837986901,64.0083333333333,NaN,0.104595583987538,922.960151178618,0,0,0,0.117175011540038
17-Jun-2010 08:00:00,10.7066666666667,0.757833333333333,2.25216666666667,1.61216666666667,NaN,321.727543085949,281.066666666667,46.659772492244,294.602464667356,3.95233333333333,516.959669079627,67.8766666666667,NaN,0.105377826288035,923.860839871222,0,0,0,0.117152904886142
17-Jun-2010 09:00:00,8.07016666666667,0.754833333333333,2.25516666666667,1.61516666666667,NaN,323.122179687309,277,47.4612202688728,293.275336091003,4.24116666666667,603.188555670459,70.9416666666667,NaN,0.1045812555965,924.914988948863,0,0,0,0.117130798232245
