Time,f,d,t,t2,rh,ps,sw_in,sw_out,lw_in,lw_out,HS,HS2,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
15-Oct-2022 11:00:00,8.97133333333333,357.616666666667,-7.5525,-7.55566666666667,99.6,822.219033333333,62.8763333333333,70.1530216666667,274.420283333333,281.7091,213.65,0,-7.60320777616211,0.804312342799823,6.89832751425534e-05,6.89832751425534e-05,0,0.804312342799823
15-Oct-2022 12:00:00,10.325,353.866666666667,-7.0755,-7.20733333333333,99.5166666666667,822.119366666667,61.96322,68.54531,275.745316666667,283.6997,213.166666666667,0,-7.13089029501042,0.804779111859336,0.000281016724857583,0.000281016724857583,0,0.804779111859336
15-Oct-2022 13:00:00,11.525,4.85233333333333,-6.59283333333333,-6.74066666666667,99.5,822.016466666667,58.54484,65.1171383333333,284.298866666667,285.388,213.9,0,-6.7857321050828,0.80524588091885,0,0,0,0.80524588091885
15-Oct-2022 14:00:00,11.825,7.42566666666667,-6.04733333333333,-6.198,99.4666666666667,821.721066666667,61.2366433333333,66.585645,286.463616666667,287.496783333333,213.466666666667,0,-6.29736828998229,0.805712649978363,0.000182330075244008,0.000181309329228365,1.02074601564288e-06,0.805712649978363
15-Oct-2022 15:00:00,14.4333333333333,14.6466666666667,-4.78233333333333,-4.88766666666667,99.5,821.245683333333,34.699105,37.2375183333333,290.784866666667,293.0316,215.016666666667,0,-5.01232868992648,0.806179419037876,0.000402626700772678,0.000403647446788321,0,0.806179419037876
15-Oct-2022 16:00:00,17.725,18.4616666666667,-4.54916666666667,-4.6415,99.5666666666667,820.967383333333,24.10564,24.8039066666667,291.540916666667,294.26265,216.4,0,-4.72744259044125,0.806646188097389,0.000338343976422912,0.000338343976422912,0,0.806646188097389
15-Oct-2022 17:00:00,17.9916666666667,18.6733333333333,-5.1995,-5.25233333333333,99.6,821.441616666667,9.10349083333333,9.20470566666667,286.590333333333,291.82075,216.4,0,-5.26820253263055,0.807112957156902,0.00036898327514228,0.00036898327514228,0,0.807112957156902
15-Oct-2022 18:00:00,17.6283333333333,17.2516666666667,-5.47133333333333,-5.53866666666667,99.6,822.249783333333,0.249003216666667,0.266163,288.405316666667,290.730166666667,216.8,0,-5.53929142251539,0.807579726216415,0,0,0,0.807579726216415
15-Oct-2022 19:00:00,20.3366666666667,16.34,-5.44916666666667,-5.48683333333333,99.6,821.77405,0,0.00359082666666667,288.75515,290.919133333333,217.483333333333,0,-5.49692610687995,0.808046495275928,7.93259483330699e-05,7.93259483330699e-05,0,0.808046495275928
15-Oct-2022 20:00:00,21.1633333333333,14.04,-6.15683333333333,-6.1925,99.5833333333333,821.801516666667,0,0,285.6031,288.02315,217.883333333333,0,-6.16435583037082,0.808513264335441,6.33468001016402e-05,6.33468001016402e-05,0,0.808513264335441
15-Oct-2022 21:00:00,21.3083333333333,10.3716666666667,-6.91133333333333,-6.99016666666667,99.5333333333333,822.440866666667,0,0,282.199066666667,284.6432,217.8,0,-6.9500299158036,0.808980033394954,0,0,0,0.808980033394954
15-Oct-2022 22:00:00,19.1133333333333,7.89966666666667,-7.3105,-7.34516666666667,99.5333333333333,823.4443,0,0,280.486433333333,283.241983333333,217.366666666667,0,-7.2760639564381,0.809446802454467,0,0,0,0.809446802454467
15-Oct-2022 23:00:00,18.8583333333333,61.6055,-7.917,-7.99766666666667,99.5,823.985683333333,0,0,275.3986,280.479566666667,216.966666666667,0,-7.9092070011279,0.80991357151398,0,0,0,0.80991357151398
16-Oct-2022 00:00:00,19.775,1.8385,-8.31166666666667,-8.26666666666667,99.6333333333333,824.297666666667,0,0,273.989316666667,278.863583333333,217.5,0,-8.29346825229097,0.810380340573493,0,0,0,0.810380340573493
16-Oct-2022 01:00:00,20.1,2.30333333333333,-8.65333333333333,-8.56333333333333,99.7,824.18105,0,0.0163982133333333,268.8461,277.41645,217.216666666667,0,-8.61023492858421,0.810847109633006,0,0,0,0.810847109633006
16-Oct-2022 02:00:00,20.2466666666667,239.846833333333,-8.68666666666667,-8.60333333333333,99.7,824.672316666667,0,0.016867,270.469616666667,277.280783333333,217.033333333333,0,-8.65550933881818,0.811313878692519,0,0,0,0.811313878692519
16-Oct-2022 03:00:00,17.5816666666667,2.46716666666667,-8.76166666666667,-8.68,99.7,825.634983333333,0,0.001561759,274.7136,277.322466666667,217.05,0,-8.67655339469746,0.811780647752032,0.000259023675447052,0.000259023675447052,0,0.811780647752032
16-Oct-2022 04:00:00,16.2866666666667,10.9831666666667,-8.53,-8.45,99.7,826.143616666667,0,0.169294683333333,275.892266666667,278.118233333333,217.183333333333,0,-8.48992912091108,0.812247416811545,0,0,0,0.812247416811545
16-Oct-2022 05:00:00,13.5833333333333,14.9016666666667,-8.37333333333333,-8.29333333333333,99.7,827.499383333333,0.0138546866666667,0.0912067316666667,276.21215,278.7997,216.916666666667,0,-8.32536222004769,0.812714185871058,0,0,0,0.812714185871058
16-Oct-2022 06:00:00,13.3816666666667,67.2761666666667,-8.4,-8.31,99.7,828.18835,0.0129038743333333,0.0890199276666667,276.531766666667,278.7823,216.116666666667,0,-8.33193494344053,0.813180954930571,0.00044135375069098,0.00044135375069098,0,0.813180954930571
16-Oct-2022 07:00:00,14.535,179.203166666667,-8.35666666666667,-8.27333333333333,99.7,828.193316666667,0.22697236,0.388409381666667,276.2114,278.970566666667,213.266666666667,0,-8.28349774858034,0.813647723990085,0.00101466015048788,0.00101466015048788,0,0.813647723990085
16-Oct-2022 08:00:00,16.4733333333333,296.595666666667,-8.19166666666667,-8.11,99.7,827.903566666667,7.843889,8.53325516666667,276.466983333333,279.362083333333,215.316666666667,0,-8.18965619435322,0.814114493049598,1.334680010154e-05,1.334680010154e-05,0,0.814114493049598
16-Oct-2022 09:00:00,17.45,298.359166666667,-8.24333333333333,-8.15,99.7,828.095166666667,29.2251583333333,31.6768133333333,276.876333333333,278.85905,213.283333333333,0,-8.31569821262521,0.814581262109111,0,0,0,0.814581262109111
16-Oct-2022 10:00:00,16.5066666666667,60.925,-8.23,-8.18166666666667,99.65,828.720633333333,87.7210666666667,94.7196683333333,275.57025,277.9357,214.633333333333,0,-8.53237380079078,0.815048031168624,0.00011766992475595,0.00011766992475595,0,0.815048031168624
16-Oct-2022 11:00:00,15.8,5.80316666666667,-7.9615,-7.92183333333333,99.6,829.3288,151.0364,161.889283333333,273.2187,278.046616666667,215.616666666667,0,-8.48783699749078,0.815514800228137,0.00034097632455294,0.00034097632455294,0,0.815514800228137
16-Oct-2022 12:00:00,14.0083333333333,7.37433333333333,-7.322,-7.3605,99.45,830.363033333333,128.455591666667,138.21314,278.133616666667,280.941616666667,213.033333333333,0,-7.81703060272017,0.81598156928765,0,0,0,0.81598156928765
16-Oct-2022 13:00:00,12.4133333333333,11.2583333333333,-7.08366666666667,-7.27016666666667,99.4166666666667,831.5663,144.617,156.474166666667,277.9242,280.98295,214.75,0,-7.80525737707443,0.816448338347163,0,0,0,0.816448338347163
16-Oct-2022 14:00:00,11.0733333333333,17.4783333333333,-6.08033333333333,-6.303,99.4166666666667,832.71075,126.964266666667,139.794883333333,271.794833333333,284.837933333333,209.633333333333,0,-6.82953164037583,0.816915107406676,0.00025,0.000248913692642834,1.08630735716589e-06,0.816915107406676
16-Oct-2022 15:00:00,12.3316666666667,24.59,-5.46033333333333,-5.51666666666667,99.5,833.237933333333,45.7503183333333,49.6331783333333,283.127416666667,289.530666666667,206.25,0,-5.7867343652857,0.817381876466189,0,0,0,0.817381876466189
16-Oct-2022 16:00:00,11.9116666666667,25.815,-5.1665,-5.18933333333333,99.5666666666667,834.197283333333,16.5899883333333,18.34497,285.2406,291.387283333333,207.85,0,-5.36113500965322,0.817848645525702,0.000114282724349666,9.56717301647611e-05,1.86109941849049e-05,0.817848645525702
16-Oct-2022 17:00:00,10.82,22.1366666666667,-4.972,-4.98516666666667,99.6,835.288366666667,6.24362166666667,6.83601466666667,290.006916666667,292.550366666667,207.416666666667,0,-5.11994289172066,0.818315414585215,0,0,0,0.818315414585215
