Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,sw_out,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
07-Aug-2010 11:00:00,4.89683333333333,2.55683333333333,3.46983333333333,2.67983333333333,NaN,312.346543702227,114,264.223994682619,309.621385842473,0.365333333333333,133.433034230641,100,-0.696316084564671,0.513993681007823,842.360291047073,7.97306079198279e-05,3.52984686014679e-06,7.62007610596811e-05,0.540250853915814
07-Aug-2010 12:00:00,5.71516666666667,2.57,3.483,2.693,NaN,311.964356929212,112.583333333333,331.588567630442,310.302675307411,0.3525,169.690927218345,100,-0.786897042381071,0.513993681007823,842.166267749256,5.99999999999454e-05,0,5.99999999999454e-05,0.540245897196807
07-Aug-2010 13:00:00,5.61683333333333,2.569,3.482,2.692,NaN,312.097291458956,99.9833333333333,291.409106015288,311.781571950814,0.262333333333333,149.50149551346,100,-0.767015558658973,0.513993681007823,842.164996221178,0.000203893355120272,4.56112204597048e-05,0.000158282134660567,0.5402409404778
07-Aug-2010 14:00:00,8.02333333333333,2.58033333333333,3.49333333333333,2.70333333333333,NaN,313.210618145563,120.533333333333,270.804253904952,311.133516118312,0.144666666666667,141.30940511798,100,-0.512555824330604,0.513993681007823,841.952156059131,0.000274577011869951,8.04142646902619e-05,0.000194162747179689,0.540235983758793
07-Aug-2010 15:00:00,7.55,2.57833333333333,3.49133333333333,2.70133333333333,NaN,314.57319707544,108.166666666667,152.459288800266,312.479478231971,-0.072,81.7713526088401,100,-0.216450904094311,0.513993681007823,842.013010150821,0.000531707815189748,0.000109016547849933,0.000422691267339815,0.540231027039786
07-Aug-2010 16:00:00,6.29633333333333,2.58416666666667,3.49716666666667,2.70716666666667,NaN,314.606430707877,95.1166666666667,189.082751744766,315.221252907943,-0.195833333333333,100.132934529744,100,-0.227405189405999,0.513993681007823,842.032845510801,0.00032198725743001,7.05895405999399e-05,0.00025139771683007,0.540226070320778
07-Aug-2010 17:00:00,6.476,2.58466666666667,3.49766666666667,2.70766666666667,NaN,313.858673978066,98,260.933865071452,313.891907610502,-0.0858333333333333,131.056829511465,100,-0.385815216238332,0.514072018917458,841.990666716638,6.02693920800448e-05,0,6.02693920800448e-05,0.540221113601771
07-Aug-2010 18:00:00,6.3215,2.575,3.488,2.698,NaN,313.925141242938,94.5833333333333,151.296111665005,312.944749086075,-0.0386666666666667,74.5430375540046,100,-0.364554260500673,0.514152803680037,842.140300792273,0.000117008937289938,7.59847789004198e-06,0.000109410459399896,0.540216156882764
07-Aug-2010 19:00:00,5.53016666666667,2.58533333333333,3.49833333333333,2.70833333333333,NaN,314.340561648388,84.4,87.1701561980724,315.420654702559,-0.0163333333333333,43.0126287803257,100,-0.288179664239541,0.515599594217402,842.139122861316,5.35298468598739e-05,0,5.35298468598739e-05,0.540211200163757
07-Aug-2010 20:00:00,5.79966666666667,2.59516666666667,3.50816666666667,2.71816666666667,NaN,314.905533399801,85.75,33.8202060485211,315.719757394483,-0.1,16.7298105682951,100,-0.163874300064037,0.521196239845882,842.207553859764,6.62007610603723e-05,0,6.62007610603723e-05,0.54020624344475
07-Aug-2010 21:00:00,6.179,2.59433333333333,3.50733333333333,2.71733333333333,NaN,315.620056497175,85.2,4.30408773678963,315.620056497175,-0.2025,2.1296111665005,100,-0.0347236779883152,0.537752656586026,842.173321168235,2.75984778900238e-05,0,2.75984778900238e-05,0.540201286725743
07-Aug-2010 22:00:00,5.41283333333333,2.58716666666667,3.50016666666667,2.71016666666667,NaN,316.151794616152,81.7,0.0993685609837155,315.703140578265,-0.341666666666667,0,100,0,0.566631154905609,842.223357547243,0.000149555332009641,3.53418283798419e-05,0.000114213503629799,0.540196330006735
07-Aug-2010 23:00:00,5.43883333333333,2.59866666666667,3.51166666666667,2.72166666666667,NaN,315.935776005317,78.6666666666667,0,315.902542372881,-0.29,0,100,0,0.600642788840791,842.348965351507,0.000165661976900083,3.3260454790252e-05,0.000132401522109831,0.540191373287728
